,vehicle_id,vehicle_type,nr_of_stops,stopping_station_ids
53,IC1715,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
54,IC1717,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
55,IC1718,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
56,IC1719,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
57,IC1720,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
58,IC1727,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
59,IC1728,IC,22,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008811130', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
60,IC1729,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
61,IC1730,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
62,IC1731,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
63,IC1732,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
64,IC1734,IC,22,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008811130', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
65,IC1736,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
